subjectNumber,condition,outcome
9,2,4.588
9,2,3.6365
9,2,6.4986
9,2,7.1821
9,2,8.2689
9,2,3.5787
9,2,4.5749
9,2,16.204
9,2,4.5116
9,2,8.7417
9,2,11.639
9,2,4.0009
9,2,8.6303
9,2,5.0061
9,2,2.5941
9,2,9.9386
10,2,6.5891
10,2,12.348
10,2,10.414
10,2,11.943
10,2,19.836
10,2,8.5412
10,2,3.9117
10,2,12.679
10,2,13.023
10,2,8.554
10,2,18.803
10,2,3.5517
10,2,5.2807
10,2,9.487
10,2,8.2062
10,2,8.3917
10,2,4.0588
10,2,13.517
10,2,6.8755
10,2,13.005
10,2,5.1514
10,2,6.0947
10,2,4.4909
10,2,13.873
10,2,11.947
10,2,12.308
10,2,6.0347
10,2,7.6433
10,2,8.3508
10,2,11.526
10,2,5.2144
10,2,12.903
10,2,6.2706
10,2,8.6595
10,2,10.049
10,2,5.097
10,2,10.408
10,2,5.3078
10,2,8.0385
10,2,8.9788
11,2,7.8254
11,2,5.6234
11,2,9.2564
11,2,5.6808
11,2,17.026
11,2,12.982
11,2,7.7256
11,2,12.924
11,2,12.991
11,2,13.425
11,2,8.3004
11,2,7.6887
11,2,14.392
11,2,1.2422
11,2,4.448
11,2,12.995
11,2,7.435
11,2,15.134
11,2,18.229
11,2,5.3149
11,2,13.992
11,2,16.404
11,2,4.2994
11,2,8.4262
11,2,12.137
11,2,7.4368
11,2,1.8989
11,2,4.5113
11,2,4.1935
11,2,9.0441
11,2,14.234
11,2,9.6593
11,2,13.24
11,2,4.9658
11,2,14.635
11,2,12.324
11,2,10.663
11,2,8.6324
11,2,4.8715
11,2,9.4597
12,2,9.8077
12,2,18.355
12,2,8.1412
12,2,12.036
12,2,17.212
12,2,10.4
12,2,6.4718
12,2,11.228
12,2,9.7044
12,2,16.14
12,2,10.294
12,2,13.219
12,2,3.8299
12,2,11.23
12,2,8.7969
12,2,1.8856
12,2,2.2065
12,2,17.472
12,2,9.8078
12,2,14.367
12,2,10.043
12,2,16.507
12,2,12.953
12,2,4.2529
12,2,6.347
12,2,8.6952
12,2,9.8847
12,2,11.282
12,2,10.86
12,2,22.855
12,2,15.804
12,2,6.9102
12,2,7.2939
12,2,6.1016
12,2,10.492
12,2,1.8719
12,2,6.2554
12,2,9.8912
12,2,9.3885
12,2,13.359
13,2,11.883
13,2,6.7464
13,2,7.6996
13,2,2.6767
13,2,7.2027
13,2,9.4331
13,2,4.6973
13,2,9.477
13,2,13.223
13,2,13.339
13,2,10.251
13,2,9.3115
13,2,5.31
13,2,7.1893
13,2,9.0956
13,2,7.9886
13,2,11.612
13,2,3.794
13,2,9.0377
13,2,8.9718
13,2,11.126
13,2,5.6995
13,2,8.3456
13,2,9.4237
13,2,11.073
13,2,10.287
13,2,10.451
13,2,12.593
13,2,12.293
13,2,4.8849
13,2,2.6175
13,2,14.289
13,2,8.0396
13,2,10.496
13,2,3.4709
13,2,11.091
13,2,6.6622
13,2,6.6754
13,2,11.834
13,2,8.584
14,2,1.3634
14,2,7.037
14,2,6.4753
14,2,10.106
14,2,9.6043
14,2,3.4609
14,2,6.6636
14,2,6.0832
14,2,1.3417
14,2,1.5159
14,2,6.1337
14,2,12.326
14,2,6.7347
14,2,1.6243
14,2,8.8574
14,2,6.3747
14,2,6.2306
14,2,7.9141
14,2,9.5319
14,2,7.9103
14,2,11.582
14,2,7.3829
14,2,1.2056
14,2,7.9351
14,2,3.3974
14,2,0.01
14,2,7.6881
14,2,2.1927
14,2,6.403
14,2,4.1035
14,2,6.3365
14,2,11.919
14,2,9.3517
14,2,4.3192
14,2,5.0926
14,2,3.4438
14,2,3.4021
14,2,6.4526
14,2,9.0127
14,2,7.2326
15,2,14.259
15,2,7.0409
15,2,17.113
15,2,5.3428
15,2,12.641
15,2,13.785
15,2,8.3957
15,2,12.285
15,2,15.906
15,2,11.403
15,2,8.8209
15,2,14.901
15,2,11.794
15,2,13.494
15,2,4.6617
15,2,8.0781
15,2,9.2086
15,2,7.5091
15,2,9.8927
15,2,18.7
15,2,5.3292
15,2,11.273
15,2,22.329
15,2,10.341
15,2,11.825
15,2,13.541
15,2,11.542
15,2,13.421
15,2,3.8639
15,2,8.1162
15,2,15.304
15,2,9.8515
15,2,7.8683
15,2,12.835
15,2,2.6308
15,2,19.728
15,2,22.307
15,2,8.6878
15,2,14.655
15,2,13.753
16,2,6.5179
16,2,14.113
16,2,8.9431
16,2,5.3964
16,2,3.3394
16,2,5.0826
16,2,7.8461
16,2,9.1418
16,2,13.471
16,2,7.8118
16,2,4.6717
16,2,5.8668
16,2,13.111
16,2,2.6814
16,2,14.631
16,2,8.564
16,2,8.9781
16,2,11.041
16,2,4.2802
16,2,9.3285
16,2,7.7201
16,2,4.09
16,2,9.6267
16,2,3.6574
16,2,4.47
16,2,6.5424
16,2,1.8615
16,2,3.7666
16,2,2.7728
16,2,9.6457
16,2,12.856
16,2,3.9291
16,2,4.3226
16,2,5.8054
16,2,3.0572
16,2,9.6926
16,2,5.9616
16,2,12.274
16,2,6.55
16,2,7.9762
17,2,14.304
17,2,14.333
17,2,13.63
17,2,15.467
17,2,9.979
17,2,15.798
17,2,10.762
17,2,7.7779
17,2,6.9236
17,2,5.3197
17,2,19.767
17,2,8.945
17,2,9.0653
17,2,8.2878
17,2,13.025
17,2,17.591
17,2,6.2776
17,2,10.256
17,2,9.2946
17,2,3.1953
17,2,11.931
17,2,7.6267
17,2,13.6
17,2,11.828
17,2,11.218
17,2,11.757
17,2,9.6868
17,2,12.355
17,2,7.0781
17,2,10.559
17,2,4.5897
17,2,11.776
17,2,14.107
17,2,15.548
17,2,9.9375
17,2,10.752
17,2,11.147
17,2,9.4202
17,2,7.2345
17,2,8.0392
18,2,7.0185
18,2,9.8889
18,2,16.408
18,2,4.4478
18,2,6.1923
18,2,12.607
18,2,4.5958
18,2,12.249
18,2,4.3223
18,2,8.6751
18,2,17.93
18,2,15.072
18,2,4.9685
18,2,2.995
18,2,22.978
18,2,3.6374
18,2,6.0467
18,2,11.628
18,2,6.9414
18,2,9.0741
18,2,9.8002
18,2,5.7889
18,2,9.1449
18,2,3.9756
18,2,4.2998
18,2,7.7242
18,2,8.0189
18,2,18.022
18,2,15.757
18,2,4.9517
18,2,13.868
18,2,6.9644
18,2,8.9157
18,2,5.4509
18,2,11.076
18,2,20.981
18,2,2.3334
18,2,15.461
18,2,5.9312
18,2,11.339
19,2,8.4739
19,2,8.8117
19,2,11.151
19,2,14.42
19,2,13.634
19,2,11.871
19,2,7.5181
19,2,9.451
19,2,10.513
19,2,27.505
19,2,3.9804
19,2,24.297
19,2,10.348
19,2,6.4397
19,2,10.05
19,2,7.9057
19,2,15.963
19,2,16.02
19,2,14.985
19,2,15.483
19,2,12.073
19,2,16.964
19,2,11.941
19,2,14.331
19,2,18.445
19,2,15.846
19,2,2.946
19,2,3.6806
19,2,15.813
19,2,18.727
19,2,4.747
19,2,18.628
19,2,11.97
19,2,8.5791
19,2,8.7476
19,2,20.143
19,2,3.8112
19,2,9.1385
19,2,10.953
19,2,16.846
20,2,10.197
20,2,3.1378
20,2,2.9014
20,2,9.1888
20,2,4.7092
20,2,2.5847
20,2,7.0332
20,2,9.7816
20,2,13.661
20,2,9.7074
20,2,9.1023
20,2,5.9866
20,2,12.258
20,2,2.6379
20,2,18.244
20,2,11.072
20,2,8.2032
20,2,9.6053
20,2,9.4388
20,2,7.5821
20,2,4.3017
20,2,11.22
20,2,9.2649
20,2,3.406
20,2,4.0952
20,2,6.6605
20,2,3.9444
20,2,1.745
20,2,3.6371
20,2,6.2569
20,2,8.0139
20,2,0.40968
20,2,7.8796
20,2,9.0026
20,2,5.8735
20,2,7.9614
20,2,10.848
20,2,2.603
20,2,4.6703
20,2,2.3154
